"election_dt"	"contest_name"	"name_on_ballot"	"party_cd"	"ballot_count"	"FTP_Date"
"11/07/2006"	"NC STATE SENATE DISTRICT 26"	"Rick Miller"	"DEM"	16064	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 26"	"Philip E. (Phil) Berger"	"REP"	26640	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 27"	"Kay Hagan"	"DEM"	30180	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 28"	"Katie G. Dorsett"	"DEM"	20955	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 29"	"Jerry W. Tillman"	"REP"	24005	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 03"	"Clark Jenkins"	"DEM"	19633	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 30"	"Don W. East"	"REP"	25698	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 31"	"Peter Samuel (Pete) Brunstetter"	"REP"	32077	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 32"	"Linda Garrou"	"DEM"	19663	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 33"	"Stan Bingham"	"REP"	25469	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 34"	"Larry Brown"	"DEM"	14048	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 34"	"Andrew C. Brock"	"REP"	21608	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 35"	"W. Edward (Eddie) Goodall, Jr."	"REP"	29301	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 36"	"Mike Helms"	"DEM"	12978	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 36"	"Fletcher L. Hartsell, Jr."	"REP"	22269	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 37"	"Daniel G. Clodfelter"	"DEM"	20018	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 38"	"Charlie Dannelly"	"DEM"	20372	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 39"	"Robert Pittenger"	"REP"	35503	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 04"	"Robert L. Holloman"	"DEM"	19091	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 04"	"Kenneth R. (Ken) Chandler"	"REP"	8312	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 40"	"Malcolm Graham"	"DEM"	21247	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 40"	"Mr. Ed Mulheren"	"REP"	13314	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 41"	"James (Jim) Forrester"	"REP"	30320	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 42"	"Lyndon Helton"	"DEM"	17906	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 42"	"Austin Allran"	"REP"	22671	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 43"	"David W. Hoyle"	"DEM"	21419	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 44"	"Jim Jacumin"	"REP"	26683	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 45"	"Steve Goss"	"DEM"	24269	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 45"	"David Blust"	"REP"	23950	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 46"	"Walter H. Dalton"	"DEM"	22557	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 46"	"Wes Westmoreland"	"REP"	18890	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 47"	"Joe Sam Queen"	"DEM"	27935	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 47"	"Keith Presnell"	"REP"	26530	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 48"	"Tom Apodaca"	"REP"	41210	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 49"	"Martin Nesbitt"	"DEM"	36901	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 49"	"R L Clark"	"REP"	19318	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 05"	"John Kerr"	"DEM"	17865	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 05"	"Todd Siebels"	"REP"	12711	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 50"	"John Snow"	"DEM"	37130	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 50"	"Ken McKim"	"REP"	24823	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 06"	"Carolyn Pittman-Dorsey"	"DEM"	7582	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 06"	"Harry Brown"	"REP"	13917	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 07"	"Doug Berger"	"DEM"	22225	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 07"	"Chuck Stires"	"REP"	14423	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 08"	"R. C. Soles, Jr."	"DEM"	26407	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 08"	"Bill Fairley"	"REP"	23802	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 09"	"Julia Boseman"	"DEM"	27804	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 09"	"Al Roseman"	"REP"	16333	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 001"	"W. C. (Bill) Owens, Jr."	"DEM"	12446	"12/08/2006"
"11/07/2006"	"NC STATE HOUSE DISTRICT 010"	"Van Braxton"	"DEM"	7699	"12/08/2006"
