,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
49,2002-01-01,house,35,DEM,12907.0,10757.0,771.0,0.0,0.0,0.0,10757.0,2149.0,12906.0,0.5454276538201488
50,2002-01-01,house,36,REP,0.0,18957.0,3059.0,0.0,0.0,0.0,18956.0,0.0,18956.0,0.0
51,2002-01-01,house,37,REP,9700.0,15647.0,1152.0,0.0,0.0,0.0,5946.0,9700.0,15646.0,0.3826882865822385
52,2002-01-01,house,38,DEM,12566.0,0.0,1446.0,0.0,0.0,0.0,0.0,12565.0,12565.0,1.0
53,2002-01-01,house,39,REP,10105.0,13875.0,524.0,0.0,0.0,0.0,3769.0,10105.0,13874.0,0.4213928273561301
54,2002-01-01,house,4,DEM,9109.0,8487.0,0.0,0.0,0.0,0.0,8487.0,621.0,9108.0,0.5176744714707888
55,2002-01-01,house,40,REP,0.0,18194.0,3186.0,0.0,0.0,0.0,18193.0,0.0,18193.0,0.0
56,2002-01-01,house,41,DEM,8596.0,8365.0,0.0,0.0,0.0,0.0,8365.0,230.0,8595.0,0.5068097399917457
57,2002-01-01,house,42,DEM,6845.0,0.0,0.0,0.0,0.0,0.0,0.0,6844.0,6844.0,1.0
58,2002-01-01,house,43,DEM,7008.0,0.0,0.0,0.0,0.0,0.0,0.0,7007.0,7007.0,1.0
59,2002-01-01,house,44,DEM,7523.0,6556.0,0.0,0.0,0.0,0.0,6556.0,966.0,7522.0,0.5343419276937282
60,2002-01-01,house,45,DEM,8039.0,4847.0,0.0,0.0,0.0,0.0,4847.0,3191.0,8038.0,0.6238553468880956
61,2002-01-01,house,46,DEM,6920.0,3978.0,0.0,0.0,0.0,0.0,3978.0,2941.0,6919.0,0.6349788952101303
62,2002-01-01,house,47,DEM,7031.0,2577.0,0.0,0.0,0.0,0.0,2577.0,4453.0,7030.0,0.7317860116569526
63,2002-01-01,house,48,DEM,9968.0,0.0,0.0,0.0,0.0,0.0,0.0,9967.0,9967.0,1.0
64,2002-01-01,house,49,DEM,10885.0,9288.0,580.0,0.0,0.0,0.0,9288.0,1596.0,10884.0,0.5395826104198681
65,2002-01-01,house,5,DEM,12714.0,0.0,2366.0,0.0,0.0,0.0,0.0,12713.0,12713.0,1.0
66,2002-01-01,house,50,REP,0.0,19636.0,4650.0,0.0,0.0,0.0,19635.0,0.0,19635.0,0.0
67,2002-01-01,house,51,REP,7819.0,8500.0,302.0,0.0,0.0,0.0,680.0,7819.0,8499.0,0.4791347509038544
